onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.01177221999978	5	attend	neutral	87	n/a	n/a	1	1.0118	5	att_neut	n/a
7.00280793099978	3	rate	n/a	n/a	98	1.11535072100014	1	7.0028	3	rating_par	-0.7333
15.0020421999998	5	attend	negative	71	n/a	n/a	2	15.002	5	att_neg	n/a
21.0097729079998	3	rate	n/a	n/a	103	1.81845784200004	2	21.0098	3	rating_par	1.2667
29.0088532039999	5	attend	negative	77	n/a	n/a	3	29.0089	5	att_neg	n/a
36.0123868209998	3	rate	n/a	n/a	103	1.05423915200004	3	36.0124	3	rating_par	1.2667
41.0076588129998	5	suppress	negative	15	n/a	n/a	4	41.0077	5	suppr_neg	n/a
48.0111231579999	3	rate	n/a	n/a	98	0.94361422299994	4	48.0111	3	rating_par	-0.7333
53.006430101	5	suppress	negative	5	n/a	n/a	5	53.0064	5	suppr_neg	n/a
61.0055283949998	3	rate	n/a	n/a	121	0.628547733000005	5	61.0055	3	rating_par	0.2667
69.0047603379999	5	attend	negative	64	n/a	n/a	6	69.0048	5	att_neg	n/a
76.0081916279998	3	rate	n/a	n/a	114	0.88422502200001	6	76.0082	3	rating_par	2.2667
83.0116087179999	5	suppress	negative	3	n/a	n/a	7	83.0116	5	suppr_neg	n/a
89.0027682729999	3	rate	n/a	n/a	98	0.914587350999909	7	89.0028	3	rating_par	-0.7333
100.005685069	5	attend	neutral	97	n/a	n/a	8	100.0057	5	att_neut	n/a
106.013415465	3	rate	n/a	n/a	98	0.910941880999872	8	106.0134	3	rating_par	-0.7333
111.008751135	5	attend	neutral	93	n/a	n/a	9	111.0088	5	att_neut	n/a
117.016461912	3	rate	n/a	n/a	98	0.628053338999962	9	117.0165	3	rating_par	-0.7333
121.016085676	5	suppress	negative	19	n/a	n/a	10	121.0161	5	suppr_neg	n/a
127.006929814	3	rate	n/a	n/a	98	0.548292382	10	127.0069	3	rating_par	-0.7333
139.005812959	5	attend	negative	68	n/a	n/a	11	139.0058	5	att_neg	n/a
146.009330258	3	rate	n/a	n/a	121	0.96375127400006	11	146.0093	3	rating_par	0.2667
150.008872301	5	attend	neutral	90	n/a	n/a	12	150.0089	5	att_neut	n/a
157.012094056	3	rate	n/a	n/a	98	0.704335827000023	12	157.0121	3	rating_par	-0.7333
163.003227229	5	suppress	negative	2	n/a	n/a	13	163.0032	5	suppr_neg	n/a
171.002586602	3	rate	n/a	n/a	121	1.30536631600012	13	171.0026	3	rating_par	0.2667
176.014535185	5	attend	neutral	84	n/a	n/a	14	176.0145	5	att_neut	n/a
183.001307232	3	rate	n/a	n/a	98	0.865014470000006	14	183.0013	3	rating_par	-0.7333
188.013254832	5	attend	neutral	100	n/a	n/a	15	188.0133	5	att_neut	n/a
196.012491132	3	rate	n/a	n/a	98	0.768503237000004	15	196.0125	3	rating_par	-0.7333
201.007786126	5	attend	negative	65	n/a	n/a	16	201.0078	5	att_neg	n/a
208.011147475	3	rate	n/a	n/a	98	0.872580895000056	16	208.0111	3	rating_par	-0.7333
212.010768924	5	attend	neutral	83	n/a	n/a	17	212.0108	5	att_neut	n/a
