slide	face	image	JW	TY	R1	R2	R3
1	face13	FF1_top	2	1	1	1	3
2	face8	MA2_left	8	8	7	9	8
3	face14	FF1_left	3	1	2	1	2
4	face10	FF3_right	5	6	3	6	6
5	face0	MF3_top	7	8	6	9	9
6	face18	FA2_left	3	1	1	1	1
7	face6	MA3_right	1	1	1	1	2
8	face12	FF2_left	1	1	1	1	1
9	face19	FA1_right	2	1	2	1	2
10	face15	FA3_left	7	8	4	9	7
11	face2	MF2_top	2	1	1	1	2
12	face3	MF1_top	2	2	2	1	2
13	face9	MA1_right	2	1	1	1	2
14	face11	FF3_left	7	9	8	9	7
15	face7	MA2_top	8	9	1	9	8
16	face4	MF1_right	2	1	1	1	3
17	face1	MF3_right	3	1	1	1	2
18	face17	FA2_top	2	1	1	1	1
19	face5	MA1_left	2	1	1	1	2
20	face16	FA3_right	8	8	6	9	8
